統計年月,區域別,村里,出生數,出生數-男,出生數-女,死亡數,死亡數-男,死亡數-女,結婚對數,離婚對數,
10305,連江縣南竿鄉,仁愛村,1,1,0,4,2,2,0,0,
10305,連江縣南竿鄉,介壽村,0,0,0,0,0,0,0,1,
10305,連江縣南竿鄉,四維村,0,0,0,0,0,0,0,0,
10305,連江縣南竿鄉,復興村,3,2,1,2,0,2,1,0,
10305,連江縣南竿鄉,津沙村,1,0,1,0,0,0,0,1,
10305,連江縣南竿鄉,清水村,0,0,0,0,0,0,0,0,
10305,連江縣南竿鄉,珠螺村,0,0,0,0,0,0,0,0,
10305,連江縣南竿鄉,福沃村,0,0,0,0,0,0,0,0,
10305,連江縣南竿鄉,馬祖村,1,1,0,0,0,0,0,1,
10305,連江縣北竿鄉,后沃村,0,0,0,1,1,0,0,0,
10305,連江縣北竿鄉,坂里村,0,0,0,0,0,0,0,0,
10305,連江縣北竿鄉,塘岐村,2,0,2,1,0,1,1,0,
10305,連江縣北竿鄉,橋仔村,0,0,0,0,0,0,0,0,
10305,連江縣北竿鄉,白沙村,0,0,0,0,0,0,0,0,
10305,連江縣北竿鄉,芹壁村,0,0,0,0,0,0,0,0,
10305,連江縣莒光鄉,大坪村,1,0,1,0,0,0,0,0,
10305,連江縣莒光鄉,田沃村,0,0,0,0,0,0,0,0,
10305,連江縣莒光鄉,福正村,0,0,0,0,0,0,1,0,
10305,連江縣莒光鄉,西坵村,0,0,0,1,1,0,0,0,
10305,連江縣莒光鄉,青帆村,0,0,0,0,0,0,0,0,
10305,連江縣東引鄉,中柳村,0,0,0,0,0,0,1,0,
10305,連江縣東引鄉,樂華村,0,0,0,0,0,0,1,0,
10305,金門縣金城鎮,北門里,4,2,2,0,0,0,5,0,
10305,金門縣金城鎮,南門里,5,2,3,1,1,0,8,1,
10305,金門縣金城鎮,古城里,6,4,2,4,2,2,0,0,
10305,金門縣金城鎮,東門里,2,2,0,3,3,0,0,2,
10305,金門縣金城鎮,珠沙里,1,0,1,3,1,2,2,0,
10305,金門縣金城鎮,西門里,11,3,8,4,2,2,3,2,
10305,金門縣金城鎮,賢庵里,1,1,0,4,3,1,2,0,
10305,金門縣金城鎮,金水里,1,0,1,1,1,0,0,1,
10305,金門縣金沙鎮,三山里,2,0,2,1,1,0,0,0,
10305,金門縣金沙鎮,何斗里,2,2,0,1,1,0,1,1,
10305,金門縣金沙鎮,光前里,1,0,1,1,0,1,2,1,
10305,金門縣金沙鎮,大洋里,2,2,0,0,0,0,1,0,
10305,金門縣金沙鎮,官嶼里,1,0,1,2,1,1,0,0,
10305,金門縣金沙鎮,汶沙里,6,3,3,3,2,1,3,2,
10305,金門縣金沙鎮,浦山里,3,1,2,1,0,1,0,1,
10305,金門縣金沙鎮,西園里,2,2,0,0,0,0,2,0,
10305,金門縣金湖鎮,山外里,5,3,2,1,0,1,1,0,
10305,金門縣金湖鎮,料羅里,2,1,1,1,0,1,0,0,
10305,金門縣金湖鎮,新市里,5,1,4,2,1,1,3,1,
10305,金門縣金湖鎮,新湖里,7,3,4,3,1,2,3,1,
10305,金門縣金湖鎮,正義里,2,2,0,2,2,0,1,0,
10305,金門縣金湖鎮,溪湖里,1,0,1,1,1,0,1,1,
10305,金門縣金湖鎮,瓊林里,3,2,1,2,0,2,2,0,
10305,金門縣金湖鎮,蓮庵里,1,1,0,0,0,0,1,1,
10305,金門縣金寧鄉,古寧村,0,0,0,3,1,2,1,1,
10305,金門縣金寧鄉,后盤村,1,1,0,1,1,0,0,0,
10305,金門縣金寧鄉,安美村,2,1,1,2,2,0,2,0,
10305,金門縣金寧鄉,榜林村,6,3,3,4,3,1,7,1,
10305,金門縣金寧鄉,湖埔村,6,3,3,2,2,0,7,0,
10305,金門縣金寧鄉,盤山村,6,3,3,2,1,1,3,0,
10305,金門縣烈嶼鄉,上岐村,2,1,1,2,1,1,0,2,
10305,金門縣烈嶼鄉,上林村,0,0,0,1,0,1,0,1,
10305,金門縣烈嶼鄉,林湖村,4,2,2,0,0,0,2,0,
10305,金門縣烈嶼鄉,西口村,3,2,1,1,0,1,0,0,
10305,金門縣烈嶼鄉,黃埔村,2,1,1,0,0,0,1,0,
10305,金門縣烏坵鄉,大坵村,1,0,1,0,0,0,0,0,
10305,金門縣烏坵鄉,小坵村,0,0,0,0,0,0,0,0,
